complaint,category,priority,department
Stagnant water causing mosquitoes near temple since yesterday.,Health & Hygiene,Medium,health
Power cut behind the apartment since yesterday.,Electricity,Medium,electricity
Accident happened in our area after rain. Ambulance required.,Emergency,High,emergency
Fire incident reported behind the apartment after rain. Need immediate help.,Emergency,High,emergency
Stray animals near school in 2nd street for 3 days.,Animal Control,Medium,animals
Voltage fluctuation near bus stop for 3 days. Appliances are getting damaged.,Electricity,Medium,electricity
Fire incident reported in our area from last night. Need immediate help.,Emergency,High,emergency
Voltage fluctuation behind the apartment since morning. Appliances are getting damaged.,Electricity,Medium,electricity
Stray dogs causing trouble in my street since yesterday.,Animal Control,Medium,animals
Street lights are off in our area daily. Unsafe at night.,Street Lights,Medium,streetlights
Drain water stagnation in 2nd street since morning.,Drainage & Sewage,Medium,drainage
Public issue needs attention at main road since morning.,General,Medium,general
Open manhole on the road near hospital after rain. Accident risk is high.,Road & Infrastructure,High,roads
Electricity not available near bridge from last month.,Electricity,Medium,electricity
Water supply is not coming near temple for 1 week.,Water Supply,Medium,water
Street lights are off near junction for 3 days. Unsafe at night.,Street Lights,Medium,streetlights
Building collapse risk near railway gate from last month. Please check urgently.,Emergency,High,emergency
Garbage burning smell near temple for 3 days.,Sanitation,Medium,sanitation
Fever cases increasing due to mosquitoes in 2nd street from last month.,Health & Hygiene,Medium,health
Stray animals near school near bus stop after rain.,Animal Control,Medium,animals
Stagnant water causing mosquitoes near railway gate from last night.,Health & Hygiene,Medium,health
Open manhole on the road near market from last month. Accident risk is high.,Road & Infrastructure,High,roads
Mosquito problem is frequent in our area for many days. Dengue risk.,Health & Hygiene,Medium,health
Kindly check and resolve the issue at main road every morning.,General,Medium,general
Garbage is not collected near railway gate for 1 week.,Sanitation,Medium,sanitation
Transformer sparking near bridge from last month.,Electricity,High,electricity
Building collapse risk near school from last night. Please check urgently.,Emergency,High,emergency
Stagnant water causing mosquitoes in 2nd street for many days.,Health & Hygiene,Medium,health
Speed breaker damaged behind the apartment from last month. Causing traffic issues.,Road & Infrastructure,Medium,roads
Mosquito problem is urgent behind the apartment daily. Dengue risk.,Health & Hygiene,Medium,health
Open manhole on the road near junction since yesterday. Accident risk is high.,Road & Infrastructure,High,roads
Fire incident reported near junction daily. Need immediate help.,Emergency,High,emergency
Gas leak smell near bus stop since yesterday. Please respond fast.,Emergency,High,emergency
There is a serious pothole near park for 3 days.,Road & Infrastructure,Medium,roads
Kindly check and resolve the issue near bus stop for 3 days.,General,Medium,general
Lamp post broken near railway gate after rain.,Street Lights,Medium,streetlights
Accident happened near park daily. Ambulance required.,Emergency,High,emergency
Voltage fluctuation at main road for 3 days. Appliances are getting damaged.,Electricity,Medium,electricity
Low water pressure in our area since morning.,Water Supply,Medium,water
Aggressive stray dog bite risk behind the apartment for 1 week.,Animal Control,High,animals
Electrocution hazard near junction for many days. Very dangerous.,Emergency,High,emergency
Electrocution hazard near school from last month. Very dangerous.,Emergency,High,emergency
Power cut at main road from last month.,Electricity,Medium,electricity
Manhole overflow near bridge daily.,Drainage & Sewage,Medium,drainage
Electricity not available near hospital from last night.,Electricity,High,electricity
Request immediate action near market daily.,General,Medium,general
Drain water stagnation at main road daily.,Drainage & Sewage,Medium,drainage
Water overflow near pipeline behind the apartment every morning.,Water Supply,Medium,water
Waste dumped openly near bridge after rain.,Sanitation,Medium,sanitation
Stray animals near school near temple from last month.,Animal Control,Medium,animals
Street lights are off near railway gate from last night. Unsafe at night.,Street Lights,Medium,streetlights
Drainage is blocked near temple since morning. Water is overflowing.,Drainage & Sewage,Medium,drainage
Gas leak smell near junction for many days. Please respond fast.,Emergency,High,emergency
Building collapse risk in 2nd street for many days. Please check urgently.,Emergency,High,emergency
Electricity not available near park daily.,Electricity,Medium,electricity
Building collapse risk near school for 1 week. Please check urgently.,Emergency,High,emergency
Public issue needs attention near bridge after rain.,General,Medium,general
Stray animals near school at main road for 1 week.,Animal Control,Medium,animals
Public toilet is dirty near railway gate since morning.,Health & Hygiene,Medium,health
Street lights are off near railway gate from last night. Unsafe at night.,Street Lights,Medium,streetlights
Road surface is damaged behind the apartment daily. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Bad smell and hygiene issue near temple every morning.,Health & Hygiene,Medium,health
Stray dogs causing trouble near bridge for 1 week.,Animal Control,Medium,animals
Electrocution hazard near park every morning. Very dangerous.,Emergency,High,emergency
Street light not working near railway gate for 1 week.,Street Lights,Medium,streetlights
Dustbin overflowing behind the apartment daily.,Sanitation,Medium,sanitation
Electric pole wire loose near bridge for many days.,Electricity,Medium,electricity
Voltage fluctuation near railway gate for 3 days. Appliances are getting damaged.,Electricity,Medium,electricity
Transformer sparking in our area from last month.,Electricity,High,electricity
Road surface is damaged at main road after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Fire incident reported near park since yesterday. Need immediate help.,Emergency,High,emergency
Garbage burning smell near market from last night.,Sanitation,Medium,sanitation
Manhole overflow in 2nd street every morning.,Drainage & Sewage,Medium,drainage
Drain cover broken near market for many days.,Drainage & Sewage,Medium,drainage
Multiple street lights damaged near park for many days.,Street Lights,Medium,streetlights
Dirty water is coming in tap in our area daily.,Water Supply,Medium,water
Low water pressure behind the apartment after rain.,Water Supply,Medium,water
Drain water stagnation in our area daily.,Drainage & Sewage,Medium,drainage
Voltage fluctuation in my street for 1 week. Appliances are getting damaged.,Electricity,Medium,electricity
Waste dumped openly near junction every morning.,Sanitation,Medium,sanitation
Water supply is not coming in my street daily.,Water Supply,Medium,water
Public toilet is dirty near bridge from last month.,Health & Hygiene,Medium,health
Drain cover broken behind the apartment from last night.,Drainage & Sewage,Medium,drainage
Power cut at main road from last month.,Electricity,Medium,electricity
Dead animal not removed near hospital since morning.,Sanitation,High,sanitation
Public issue needs attention near junction after rain.,General,Medium,general
Open manhole on the road near railway gate for many days. Accident risk is high.,Road & Infrastructure,High,roads
Cows blocking road behind the apartment every morning.,Animal Control,Medium,animals
Accident happened near bridge for 1 week. Ambulance required.,Emergency,High,emergency
Building collapse risk in our area from last month. Please check urgently.,Emergency,High,emergency
Accident happened near market since yesterday. Ambulance required.,Emergency,High,emergency
Lamp post broken near park since morning.,Street Lights,Medium,streetlights
Dead animal not removed near park from last month.,Sanitation,Medium,sanitation
Cows blocking road in our area daily.,Animal Control,Medium,animals
Open manhole on the road in 2nd street every morning. Accident risk is high.,Road & Infrastructure,High,roads
There is a dangerous pothole near railway gate from last night.,Road & Infrastructure,High,roads
Transformer sparking in my street for 1 week.,Electricity,High,electricity
Gas leak smell behind the apartment since morning. Please respond fast.,Emergency,High,emergency
Complaint about local problem near school from last month.,General,Medium,general
Request immediate action behind the apartment every morning.,General,Medium,general
Fever cases increasing due to mosquitoes near school after rain.,Health & Hygiene,Medium,health
Drainage is blocked in 2nd street after rain. Water is overflowing.,Drainage & Sewage,Medium,drainage
Bad smell and hygiene issue in 2nd street after rain.,Health & Hygiene,Medium,health
There is a water pipeline leak near park every morning.,Water Supply,Medium,water
Drain water stagnation near hospital for many days.,Drainage & Sewage,High,drainage
Manhole overflow near railway gate daily.,Drainage & Sewage,Medium,drainage
Stagnant water causing mosquitoes at main road after rain.,Health & Hygiene,Medium,health
Drain cover broken near bus stop for 3 days.,Drainage & Sewage,Medium,drainage
Water overflow near pipeline near school after rain.,Water Supply,Medium,water
Gas leak smell in 2nd street after rain. Please respond fast.,Emergency,High,emergency
Fever cases increasing due to mosquitoes near junction from last month.,Health & Hygiene,Medium,health
Road surface is damaged near junction since morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Open manhole on the road in 2nd street after rain. Accident risk is high.,Road & Infrastructure,High,roads
Manhole overflow near school daily.,Drainage & Sewage,Medium,drainage
Street light not working near market for 3 days.,Street Lights,Medium,streetlights
Public issue needs attention near bus stop for 1 week.,General,Medium,general
Garbage is not collected in 2nd street since morning.,Sanitation,Medium,sanitation
Voltage fluctuation near temple for many days. Appliances are getting damaged.,Electricity,Medium,electricity
Multiple street lights damaged near hospital daily.,Street Lights,High,streetlights
Dirty water is coming in tap near hospital for many days.,Water Supply,High,water
Fire incident reported near park for 3 days. Need immediate help.,Emergency,High,emergency
Public issue needs attention near hospital daily.,General,High,general
Aggressive stray dog bite risk near railway gate since morning.,Animal Control,High,animals
Kindly check and resolve the issue near park from last month.,General,Medium,general
Kindly check and resolve the issue at main road for many days.,General,Medium,general
Open manhole on the road near market from last month. Accident risk is high.,Road & Infrastructure,High,roads
Bad smell and hygiene issue near hospital daily.,Health & Hygiene,High,health
Public toilet is dirty near hospital from last month.,Health & Hygiene,High,health
Drain water stagnation near school for many days.,Drainage & Sewage,Medium,drainage
Waste dumped openly in my street daily.,Sanitation,Medium,sanitation
Mosquito problem is massive near junction for 3 days. Dengue risk.,Health & Hygiene,Medium,health
Broken footpath near temple since morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Electricity not available near bus stop for many days.,Electricity,Medium,electricity
There is a water pipeline leak behind the apartment after rain.,Water Supply,Medium,water
Request immediate action near junction since yesterday.,General,Medium,general
Drain cover broken near school daily.,Drainage & Sewage,Medium,drainage
Building collapse risk at main road after rain. Please check urgently.,Emergency,High,emergency
Bad smell and hygiene issue near school for 3 days.,Health & Hygiene,Medium,health
Stagnant water causing mosquitoes in 2nd street for 1 week.,Health & Hygiene,Medium,health
Dirty water is coming in tap near junction from last month.,Water Supply,Medium,water
Low water pressure behind the apartment daily.,Water Supply,Medium,water
Lamp post broken near temple for 3 days.,Street Lights,Medium,streetlights
Stray animals near school behind the apartment from last night.,Animal Control,Medium,animals
Electricity not available near junction since morning.,Electricity,Medium,electricity
Transformer sparking near junction from last night.,Electricity,High,electricity
Public issue needs attention near bus stop for many days.,General,Medium,general
Garbage is not collected near junction for many days.,Sanitation,Medium,sanitation
Cows blocking road near temple daily.,Animal Control,Medium,animals
Drainage is blocked near temple for 3 days. Water is overflowing.,Drainage & Sewage,Medium,drainage
Dead animal not removed near school after rain.,Sanitation,Medium,sanitation
Accident happened behind the apartment after rain. Ambulance required.,Emergency,High,emergency
Aggressive stray dog bite risk near school since yesterday.,Animal Control,High,animals
Public toilet is dirty near school every morning.,Health & Hygiene,Medium,health
Stray animals near school in my street since yesterday.,Animal Control,Medium,animals
Need help regarding civic issue near temple every morning.,General,Medium,general
Street light not working near school since yesterday.,Street Lights,Medium,streetlights
Aggressive stray dog bite risk near temple for 3 days.,Animal Control,High,animals
Street lights are off near bus stop after rain. Unsafe at night.,Street Lights,Medium,streetlights
Stray animals near school near hospital from last month.,Animal Control,High,animals
Waste dumped openly near school every morning.,Sanitation,Medium,sanitation
Mosquito problem is frequent near bridge for 3 days. Dengue risk.,Health & Hygiene,Medium,health
Open manhole on the road near bus stop for 3 days. Accident risk is high.,Road & Infrastructure,High,roads
Stray animals near school near bus stop for many days.,Animal Control,Medium,animals
Sewage overflow near temple since yesterday. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Transformer sparking in 2nd street daily.,Electricity,High,electricity
Lamp post broken near temple from last month.,Street Lights,Medium,streetlights
Water supply is not coming near bus stop after rain.,Water Supply,Medium,water
There is a water pipeline leak near hospital for 3 days.,Water Supply,High,water
Power cut near hospital every morning.,Electricity,High,electricity
There is a very severe pothole near park daily.,Road & Infrastructure,Medium,roads
Stray animals near school near market after rain.,Animal Control,Medium,animals
Road surface is damaged behind the apartment since morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Drain water stagnation near railway gate for 1 week.,Drainage & Sewage,Medium,drainage
Multiple street lights damaged near temple for 1 week.,Street Lights,Medium,streetlights
Low water pressure near school since yesterday.,Water Supply,Medium,water
Lamp post broken in my street from last night.,Street Lights,Medium,streetlights
Garbage burning smell near junction for 3 days.,Sanitation,Medium,sanitation
There is a dangerous pothole near school daily.,Road & Infrastructure,High,roads
Kindly check and resolve the issue near park daily.,General,Medium,general
Electricity not available near junction every morning.,Electricity,Medium,electricity
Stagnant water causing mosquitoes near hospital daily.,Health & Hygiene,High,health
Kindly check and resolve the issue near junction from last night.,General,Medium,general
Accident happened near temple for 1 week. Ambulance required.,Emergency,High,emergency
Sewage overflow near park after rain. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Request immediate action near school since morning.,General,Medium,general
Water overflow near pipeline near temple since yesterday.,Water Supply,Medium,water
There is a serious pothole near park for 3 days.,Road & Infrastructure,Medium,roads
Broken footpath near market from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Gas leak smell near bridge since morning. Please respond fast.,Emergency,High,emergency
Electric pole wire loose at main road since morning.,Electricity,Medium,electricity
Waste dumped openly near school from last month.,Sanitation,Medium,sanitation
Stray animals near school near school since yesterday.,Animal Control,Medium,animals
Broken footpath near railway gate for 1 week. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Speed breaker damaged at main road for 3 days. Causing traffic issues.,Road & Infrastructure,Medium,roads
Request immediate action near bridge every morning.,General,Medium,general
Dog barking and chasing vehicles near junction since morning.,Animal Control,Medium,animals
Stagnant water causing mosquitoes in our area for 3 days.,Health & Hygiene,Medium,health
Lamp post broken in 2nd street since yesterday.,Street Lights,Medium,streetlights
Fire incident reported near bus stop after rain. Need immediate help.,Emergency,High,emergency
Kindly check and resolve the issue in my street from last night.,General,Medium,general
Multiple street lights damaged near railway gate for many days.,Street Lights,Medium,streetlights
Public issue needs attention in our area since yesterday.,General,Medium,general
Request immediate action near bridge for 3 days.,General,Medium,general
Voltage fluctuation in our area for 1 week. Appliances are getting damaged.,Electricity,Medium,electricity
Speed breaker damaged near railway gate for 3 days. Causing traffic issues.,Road & Infrastructure,Medium,roads
Road surface is damaged near bridge for 3 days. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Public issue needs attention in my street since yesterday.,General,Medium,general
Need help regarding civic issue near school from last night.,General,Medium,general
Water supply is not coming near school for many days.,Water Supply,Medium,water
Garbage is not collected in my street for 3 days.,Sanitation,Medium,sanitation
Multiple street lights damaged near railway gate for 1 week.,Street Lights,Medium,streetlights
Open manhole on the road near junction every morning. Accident risk is high.,Road & Infrastructure,High,roads
Drain cover broken at main road daily.,Drainage & Sewage,Medium,drainage
Aggressive stray dog bite risk at main road since morning.,Animal Control,High,animals
Garbage is not collected in our area daily.,Sanitation,Medium,sanitation
Dog barking and chasing vehicles at main road for many days.,Animal Control,Medium,animals
Waste dumped openly near park for 1 week.,Sanitation,Medium,sanitation
Open manhole on the road in 2nd street from last month. Accident risk is high.,Road & Infrastructure,High,roads
Drainage is blocked in our area for many days. Water is overflowing.,Drainage & Sewage,Medium,drainage
Electrocution hazard in our area since yesterday. Very dangerous.,Emergency,High,emergency
Dead animal not removed behind the apartment from last night.,Sanitation,Medium,sanitation
Broken footpath near junction for many days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Street light not working near school since morning.,Street Lights,Medium,streetlights
Flickering street light near school from last month.,Street Lights,Medium,streetlights
Lamp post broken near school for 1 week.,Street Lights,Medium,streetlights
Stagnant water causing mosquitoes in our area from last month.,Health & Hygiene,Medium,health
Complaint about local problem near park after rain.,General,Medium,general
Waste dumped openly near park for many days.,Sanitation,Medium,sanitation
Complaint about local problem behind the apartment since yesterday.,General,Medium,general
Dog barking and chasing vehicles near bridge since morning.,Animal Control,Medium,animals
Lamp post broken in my street daily.,Street Lights,Medium,streetlights
Stagnant water causing mosquitoes near park every morning.,Health & Hygiene,Medium,health
Aggressive stray dog bite risk in my street from last month.,Animal Control,High,animals
Manhole overflow near bridge since yesterday.,Drainage & Sewage,Medium,drainage
Transformer sparking near school after rain.,Electricity,High,electricity
Water overflow near pipeline in our area for many days.,Water Supply,Medium,water
Multiple street lights damaged near bridge from last night.,Street Lights,Medium,streetlights
Electricity not available near park for many days.,Electricity,Medium,electricity
Drain cover broken near market from last night.,Drainage & Sewage,Medium,drainage
Aggressive stray dog bite risk in 2nd street for 1 week.,Animal Control,High,animals
Low water pressure in 2nd street daily.,Water Supply,Medium,water
Electricity not available near market for many days.,Electricity,Medium,electricity
Cows blocking road near temple from last month.,Animal Control,Medium,animals
Stray animals near school near bridge daily.,Animal Control,Medium,animals
Street lights are off near bus stop for 3 days. Unsafe at night.,Street Lights,Medium,streetlights
Kindly check and resolve the issue near bridge for many days.,General,Medium,general
Waste dumped openly in our area since morning.,Sanitation,Medium,sanitation
Public toilet is dirty in my street daily.,Health & Hygiene,Medium,health
Need help regarding civic issue in my street from last month.,General,Medium,general
Dog barking and chasing vehicles in 2nd street for many days.,Animal Control,Medium,animals
Stray dogs causing trouble near market every morning.,Animal Control,Medium,animals
Kindly check and resolve the issue in our area since morning.,General,Medium,general
Dustbin overflowing near bridge every morning.,Sanitation,Medium,sanitation
Dirty water is coming in tap near hospital from last month.,Water Supply,High,water
Cows blocking road in our area from last night.,Animal Control,Medium,animals
There is a water pipeline leak near hospital daily.,Water Supply,High,water
Electricity not available near temple for 3 days.,Electricity,Medium,electricity
Drain cover broken near park for 3 days.,Drainage & Sewage,Medium,drainage
Dead animal not removed near bus stop every morning.,Sanitation,Medium,sanitation
Drain water stagnation at main road from last month.,Drainage & Sewage,Medium,drainage
Stray dogs causing trouble near hospital for 3 days.,Animal Control,High,animals
Electricity not available near bus stop after rain.,Electricity,Medium,electricity
Voltage fluctuation behind the apartment daily. Appliances are getting damaged.,Electricity,Medium,electricity
Open manhole on the road behind the apartment after rain. Accident risk is high.,Road & Infrastructure,High,roads
Request immediate action in 2nd street from last month.,General,Medium,general
Dog barking and chasing vehicles at main road daily.,Animal Control,Medium,animals
Fever cases increasing due to mosquitoes in our area daily.,Health & Hygiene,Medium,health
Electric pole wire loose near school daily.,Electricity,Medium,electricity
Manhole overflow near railway gate for 3 days.,Drainage & Sewage,Medium,drainage
Dirty water is coming in tap near market for many days.,Water Supply,Medium,water
Power cut near junction every morning.,Electricity,Medium,electricity
Fever cases increasing due to mosquitoes near bus stop since yesterday.,Health & Hygiene,Medium,health
Manhole overflow near temple every morning.,Drainage & Sewage,Medium,drainage
There is a massive pothole near junction for 1 week.,Road & Infrastructure,Medium,roads
Request immediate action near park daily.,General,Medium,general
Electricity not available near park for 1 week.,Electricity,Medium,electricity
Electrocution hazard near school since morning. Very dangerous.,Emergency,High,emergency
Fever cases increasing due to mosquitoes near school since morning.,Health & Hygiene,Medium,health
Drainage is blocked near temple from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Multiple street lights damaged behind the apartment since yesterday.,Street Lights,Medium,streetlights
Request immediate action in my street from last night.,General,Medium,general
Low water pressure near park every morning.,Water Supply,Medium,water
Stray dogs causing trouble near junction from last night.,Animal Control,Medium,animals
Broken footpath near railway gate for many days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Garbage is not collected near school every morning.,Sanitation,Medium,sanitation
Dog barking and chasing vehicles near bridge since yesterday.,Animal Control,Medium,animals
Garbage burning smell at main road after rain.,Sanitation,Medium,sanitation
Street lights are off in our area for many days. Unsafe at night.,Street Lights,Medium,streetlights
Drain water stagnation in our area for 1 week.,Drainage & Sewage,Medium,drainage
Water overflow near pipeline near park for 1 week.,Water Supply,Medium,water
Drainage is blocked in 2nd street from last month. Water is overflowing.,Drainage & Sewage,Medium,drainage
Stray animals near school near junction since yesterday.,Animal Control,Medium,animals
Public toilet is dirty near market since morning.,Health & Hygiene,Medium,health
Fever cases increasing due to mosquitoes near bus stop since morning.,Health & Hygiene,Medium,health
Dustbin overflowing near bridge from last month.,Sanitation,Medium,sanitation
Garbage burning smell in our area for 1 week.,Sanitation,Medium,sanitation
Mosquito problem is very severe in my street for 1 week. Dengue risk.,Health & Hygiene,Medium,health
Street lights are off near bus stop from last month. Unsafe at night.,Street Lights,Medium,streetlights
Multiple street lights damaged near hospital from last month.,Street Lights,High,streetlights
There is a water pipeline leak in our area for many days.,Water Supply,Medium,water
Request immediate action near bridge from last night.,General,Medium,general
Fever cases increasing due to mosquitoes behind the apartment since yesterday.,Health & Hygiene,Medium,health
Power cut near bus stop every morning.,Electricity,Medium,electricity
Bad smell and hygiene issue near school every morning.,Health & Hygiene,Medium,health
Voltage fluctuation near junction since morning. Appliances are getting damaged.,Electricity,Medium,electricity
Flickering street light near hospital for 3 days.,Street Lights,High,streetlights
Drain cover broken in my street daily.,Drainage & Sewage,Medium,drainage
Garbage burning smell in my street for 1 week.,Sanitation,Medium,sanitation
Kindly check and resolve the issue near market after rain.,General,Medium,general
Gas leak smell near temple since yesterday. Please respond fast.,Emergency,High,emergency
Sewage overflow near park since morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Garbage burning smell near bridge after rain.,Sanitation,Medium,sanitation
Broken footpath in my street daily. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Garbage is not collected at main road after rain.,Sanitation,Medium,sanitation
Open manhole on the road behind the apartment for 1 week. Accident risk is high.,Road & Infrastructure,High,roads
Fever cases increasing due to mosquitoes near bridge from last night.,Health & Hygiene,Medium,health
Dog barking and chasing vehicles in 2nd street for 1 week.,Animal Control,Medium,animals
Flickering street light behind the apartment from last month.,Street Lights,Medium,streetlights
Flickering street light near market every morning.,Street Lights,Medium,streetlights
Transformer sparking in 2nd street for 3 days.,Electricity,High,electricity
Electrocution hazard in our area daily. Very dangerous.,Emergency,High,emergency
Water supply is not coming near market from last month.,Water Supply,Medium,water
Manhole overflow in 2nd street since yesterday.,Drainage & Sewage,Medium,drainage
Road surface is damaged near park since morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Road surface is damaged near junction for many days. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Dead animal not removed near hospital for many days.,Sanitation,High,sanitation
Water overflow near pipeline near market for many days.,Water Supply,Medium,water
Gas leak smell near bus stop from last night. Please respond fast.,Emergency,High,emergency
Need help regarding civic issue near school for many days.,General,Medium,general
Open manhole on the road near bus stop daily. Accident risk is high.,Road & Infrastructure,High,roads
Garbage burning smell near junction for 1 week.,Sanitation,Medium,sanitation
Low water pressure near bridge since morning.,Water Supply,Medium,water
Speed breaker damaged near park since yesterday. Causing traffic issues.,Road & Infrastructure,Medium,roads
Garbage is not collected near bridge for 3 days.,Sanitation,Medium,sanitation
Power cut near hospital daily.,Electricity,High,electricity
Road surface is damaged near park daily. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Stagnant water causing mosquitoes near junction for 3 days.,Health & Hygiene,Medium,health
Fever cases increasing due to mosquitoes in 2nd street from last night.,Health & Hygiene,Medium,health
Electricity not available near bus stop for 3 days.,Electricity,Medium,electricity
Manhole overflow at main road since morning.,Drainage & Sewage,Medium,drainage
Kindly check and resolve the issue in my street for 3 days.,General,Medium,general
Stray dogs causing trouble near temple for 3 days.,Animal Control,Medium,animals
Dead animal not removed near hospital from last month.,Sanitation,High,sanitation
Stray dogs causing trouble near hospital daily.,Animal Control,High,animals
Accident happened near railway gate from last night. Ambulance required.,Emergency,High,emergency
Electric pole wire loose in my street from last month.,Electricity,Medium,electricity
Garbage is not collected near junction since yesterday.,Sanitation,Medium,sanitation
Broken footpath at main road since yesterday. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Mosquito problem is frequent near hospital since yesterday. Dengue risk.,Health & Hygiene,High,health
Dirty water is coming in tap near temple for many days.,Water Supply,Medium,water
Power cut near junction daily.,Electricity,Medium,electricity
Request immediate action near bridge from last night.,General,Medium,general
Garbage burning smell near school since morning.,Sanitation,Medium,sanitation
Lamp post broken in 2nd street from last month.,Street Lights,Medium,streetlights
There is a water pipeline leak in 2nd street from last night.,Water Supply,Medium,water
There is a water pipeline leak near school for 1 week.,Water Supply,Medium,water
Electric pole wire loose near bridge every morning.,Electricity,Medium,electricity
Flickering street light near railway gate from last night.,Street Lights,Medium,streetlights
Bad smell and hygiene issue at main road for 1 week.,Health & Hygiene,Medium,health
Bad smell and hygiene issue in my street for 3 days.,Health & Hygiene,Medium,health
Request immediate action near hospital for many days.,General,High,general
Electrocution hazard near market for many days. Very dangerous.,Emergency,High,emergency
Drainage is blocked near railway gate since morning. Water is overflowing.,Drainage & Sewage,Medium,drainage
Drain cover broken in our area every morning.,Drainage & Sewage,Medium,drainage
Transformer sparking near park every morning.,Electricity,High,electricity
Request immediate action near temple for 3 days.,General,Medium,general
Lamp post broken at main road for 1 week.,Street Lights,Medium,streetlights
Water supply is not coming near market from last night.,Water Supply,Medium,water
Cows blocking road near hospital after rain.,Animal Control,High,animals
Bad smell and hygiene issue near junction for 3 days.,Health & Hygiene,Medium,health
Aggressive stray dog bite risk near school daily.,Animal Control,High,animals
Dirty water is coming in tap near bus stop since yesterday.,Water Supply,Medium,water
Water overflow near pipeline at main road every morning.,Water Supply,Medium,water
Garbage is not collected near temple for 1 week.,Sanitation,Medium,sanitation
There is a frequent pothole near railway gate since yesterday.,Road & Infrastructure,Medium,roads
Manhole overflow in my street from last night.,Drainage & Sewage,Medium,drainage
Cows blocking road near school every morning.,Animal Control,Medium,animals
Street light not working near bridge daily.,Street Lights,Medium,streetlights
Water supply is not coming near junction since morning.,Water Supply,Medium,water
Dead animal not removed in 2nd street daily.,Sanitation,Medium,sanitation
Stray animals near school near bus stop for 1 week.,Animal Control,Medium,animals
Broken footpath at main road since morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Road surface is damaged near market after rain. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Building collapse risk near market from last night. Please check urgently.,Emergency,High,emergency
There is a serious pothole near bus stop after rain.,Road & Infrastructure,Medium,roads
Stray animals near school in our area after rain.,Animal Control,Medium,animals
Dead animal not removed in my street since yesterday.,Sanitation,Medium,sanitation
Gas leak smell near park daily. Please respond fast.,Emergency,High,emergency
Water overflow near pipeline near bridge for many days.,Water Supply,Medium,water
Dog barking and chasing vehicles at main road for 3 days.,Animal Control,Medium,animals
Dog barking and chasing vehicles in my street since morning.,Animal Control,Medium,animals
Low water pressure at main road every morning.,Water Supply,Medium,water
Power cut near hospital daily.,Electricity,High,electricity
Dog barking and chasing vehicles near junction for 3 days.,Animal Control,Medium,animals
Stray dogs causing trouble near hospital from last night.,Animal Control,High,animals
Lamp post broken near market from last month.,Street Lights,Medium,streetlights
Waste dumped openly near bus stop for 3 days.,Sanitation,Medium,sanitation
Garbage is not collected in my street from last night.,Sanitation,Medium,sanitation
Multiple street lights damaged in 2nd street for 1 week.,Street Lights,Medium,streetlights
Building collapse risk near hospital daily. Please check urgently.,Emergency,High,emergency
Power cut near bus stop for 1 week.,Electricity,Medium,electricity
There is a getting worse pothole behind the apartment every morning.,Road & Infrastructure,Medium,roads
Request immediate action behind the apartment for 1 week.,General,Medium,general
Drain cover broken in our area every morning.,Drainage & Sewage,Medium,drainage
Stray animals near school at main road daily.,Animal Control,Medium,animals
Manhole overflow near railway gate every morning.,Drainage & Sewage,Medium,drainage
Broken footpath near hospital since yesterday. Pedestrians are getting hurt.,Road & Infrastructure,High,roads
Stray animals near school near railway gate for many days.,Animal Control,Medium,animals
Open manhole on the road near temple since yesterday. Accident risk is high.,Road & Infrastructure,High,roads
Power cut near junction since yesterday.,Electricity,Medium,electricity
Electricity not available near railway gate for 1 week.,Electricity,Medium,electricity
Manhole overflow in our area since morning.,Drainage & Sewage,Medium,drainage
Garbage is not collected near market for many days.,Sanitation,Medium,sanitation
Low water pressure near hospital daily.,Water Supply,High,water
Street light not working at main road since morning.,Street Lights,Medium,streetlights
Stray dogs causing trouble behind the apartment every morning.,Animal Control,Medium,animals
Bad smell and hygiene issue near railway gate since yesterday.,Health & Hygiene,Medium,health
Dead animal not removed near junction from last night.,Sanitation,Medium,sanitation
There is a water pipeline leak near temple every morning.,Water Supply,Medium,water
Cows blocking road in my street for many days.,Animal Control,Medium,animals
Transformer sparking at main road every morning.,Electricity,High,electricity
